Xcoord,Ycoord,Depth
0.00,0.00,24.40000
0.00,0.02,24.12000
0.00,0.04,23.85000
0.00,0.06,23.59000
0.00,0.08,23.34000
0.00,0.10,23.10000
0.00,0.12,22.88000
0.00,0.14,22.67000
0.00,0.16,22.46000
0.00,0.18,22.27000
0.00,0.20,22.10000
0.00,0.22,21.93000
0.00,0.24,21.77000
0.00,0.26,21.63000
0.00,0.28,21.50000
0.00,0.30,21.38000
0.00,0.32,21.27000
0.00,0.34,21.17000
0.00,0.36,21.08000
0.00,0.38,21.01000
0.00,0.40,20.94000
0.00,0.42,20.89000
0.00,0.44,20.85000
0.00,0.46,20.82000
0.00,0.48,20.81000
0.00,0.50,20.80000
0.00,0.52,20.81000
0.00,0.54,20.82000
0.00,0.56,20.85000
0.00,0.58,20.89000
0.00,0.60,20.94000
0.00,0.62,21.01000
0.00,0.64,21.08000
0.00,0.66,21.17000
0.00,0.68,21.27000
0.00,0.70,21.38000
0.00,0.72,21.50000
0.00,0.74,21.63000
0.00,0.76,21.77000
0.00,0.78,21.93000
0.00,0.80,22.10000
0.00,0.82,22.27000
0.00,0.84,22.46000
0.00,0.86,22.67000
0.00,0.88,22.88000
0.00,0.90,23.10000
0.00,0.92,23.34000
0.00,0.94,23.59000
0.00,0.96,23.85000
0.00,0.98,24.12000
0.00,1.00,24.40000
0.00,1.02,24.69000
0.00,1.04,25.00000
0.00,1.06,25.32000
0.00,1.08,25.64000
0.00,1.10,25.98000
0.00,1.12,26.34000
0.00,1.14,26.70000
0.00,1.16,27.07000
0.00,1.18,27.46000
0.00,1.20,27.86000
0.00,1.22,28.26000
0.00,1.24,28.69000
0.00,1.26,29.12000
0.00,1.28,29.56000
0.00,1.30,30.02000
0.00,1.32,30.48000
0.00,1.34,30.96000
0.00,1.36,31.45000
0.00,1.38,31.95000
0.00,1.40,32.46000
0.00,1.42,32.99000
0.00,1.44,33.52000
0.00,1.46,34.07000
0.00,1.48,34.63000
0.00,1.50,35.20000
0.00,1.52,35.78000
0.00,1.54,36.38000
0.00,1.56,36.98000
0.00,1.58,37.60000
0.00,1.60,38.22000
0.00,1.62,38.86000
0.00,1.64,39.51000
0.00,1.66,40.18000
0.00,1.68,40.85000
0.00,1.70,41.54000
0.00,1.72,42.23000
0.00,1.74,42.94000
0.00,1.76,43.66000
0.00,1.78,44.39000
0.00,1.80,45.14000
0.00,1.82,45.89000
0.00,1.84,46.66000
0.00,1.86,47.43000
0.00,1.88,48.22000
0.00,1.90,49.02000
0.00,1.92,49.84000
0.00,1.94,50.66000
0.00,1.96,51.50000
0.00,1.98,52.34000
0.00,2.00,53.20000
0.00,2.02,54.07000
0.00,2.04,54.95000
0.00,2.06,55.84000
0.00,2.08,56.75000
0.00,2.10,57.66000
0.00,2.12,58.59000
0.00,2.14,59.53000
0.00,2.16,60.48000
0.00,2.18,61.44000
0.00,2.20,62.42000
0.00,2.22,63.40000
0.00,2.24,64.40000
0.00,2.26,65.41000
0.00,2.28,66.42000
0.00,2.30,67.46000
0.00,2.32,68.50000
0.00,2.34,69.55000
0.00,2.36,70.62000
