Xcoord,Ycoord,SquareX,SquareY,CubeX,CubeY,Depth
0.00,0.00,0.0000,0.0000,0.0000000,0.0000000,24.40000
0.00,0.02,0.0000,0.0004,0.0000000,0.0000080,24.12000
0.00,0.04,0.0000,0.0016,0.0000000,0.0000640,23.85000
0.00,0.06,0.0000,0.0036,0.0000000,0.0002160,23.59000
0.00,0.08,0.0000,0.0064,0.0000000,0.0005120,23.34000
0.00,0.10,0.0000,0.0100,0.0000000,0.0010000,23.10000
0.00,0.12,0.0000,0.0144,0.0000000,0.0017280,22.88000
0.00,0.14,0.0000,0.0196,0.0000000,0.0027440,22.67000
0.00,0.16,0.0000,0.0256,0.0000000,0.0040960,22.46000
0.00,0.18,0.0000,0.0324,0.0000000,0.0058320,22.27000
0.00,0.20,0.0000,0.0400,0.0000000,0.0080000,22.10000
0.00,0.22,0.0000,0.0484,0.0000000,0.0106480,21.93000
0.00,0.24,0.0000,0.0576,0.0000000,0.0138240,21.77000
0.00,0.26,0.0000,0.0676,0.0000000,0.0175760,21.63000
0.00,0.28,0.0000,0.0784,0.0000000,0.0219520,21.50000
0.00,0.30,0.0000,0.0900,0.0000000,0.0270000,21.38000
0.00,0.32,0.0000,0.1024,0.0000000,0.0327680,21.27000
0.00,0.34,0.0000,0.1156,0.0000000,0.0393040,21.17000
0.00,0.36,0.0000,0.1296,0.0000000,0.0466560,21.08000
0.00,0.38,0.0000,0.1444,0.0000000,0.0548720,21.01000
0.00,0.40,0.0000,0.1600,0.0000000,0.0640000,20.94000
0.00,0.42,0.0000,0.1764,0.0000000,0.0740880,20.89000
0.00,0.44,0.0000,0.1936,0.0000000,0.0851840,20.85000
0.00,0.46,0.0000,0.2116,0.0000000,0.0973360,20.82000
0.00,0.48,0.0000,0.2304,0.0000000,0.1105920,20.81000
0.00,0.50,0.0000,0.2500,0.0000000,0.1250000,20.80000
0.00,0.52,0.0000,0.2704,0.0000000,0.1406080,20.81000
0.00,0.54,0.0000,0.2916,0.0000000,0.1574640,20.82000
0.00,0.56,0.0000,0.3136,0.0000000,0.1756160,20.85000
0.00,0.58,0.0000,0.3364,0.0000000,0.1951120,20.89000
0.00,0.60,0.0000,0.3600,0.0000000,0.2160000,20.94000
0.00,0.62,0.0000,0.3844,0.0000000,0.2383280,21.01000
0.00,0.64,0.0000,0.4096,0.0000000,0.2621440,21.08000
0.00,0.66,0.0000,0.4356,0.0000000,0.2874960,21.17000
0.00,0.68,0.0000,0.4624,0.0000000,0.3144320,21.27000
