XCOORD,YCOORD
3.29137,0.00000
3.29844,0.02000
3.30544,0.04000
3.31244,0.06000
3.31956,0.08000
3.32656,0.10000
3.33365,0.12000
3.34069,0.14000
3.34786,0.16000
3.35497,0.18000
3.36209,0.20000
3.36924,0.22000
3.37637,0.24000
3.38363,0.26000
3.39083,0.28000
3.39801,0.30000
3.40523,0.32000
3.41245,0.34000
3.41981,0.36000
3.42708,0.38000
3.43435,0.40000
3.44175,0.42000
3.44908,0.44000
3.45641,0.46000
3.46386,0.48000
3.47125,0.50000
3.47874,0.52000
3.48616,0.54000
3.49367,0.56000
3.50113,0.58000
3.50873,0.60000
3.51631,0.62000
3.52383,0.64000
3.53148,0.66000
3.53912,0.68000
3.54669,0.70000
3.55439,0.72000
3.56211,0.74000
3.56986,0.76000
3.57760,0.78000
3.58541,0.80000
3.59322,0.82000
3.60116,0.84000
3.60903,0.86000
3.61690,0.88000
3.62493,0.90000
3.63285,0.92000
3.64090,0.94000
3.64894,0.96000
3.65697,0.98000
3.66514,1.00000
3.67331,1.02000
3.68149,1.04000
3.68972,1.06000
3.69806,1.08000
3.70636,1.10000
3.71471,1.12000
3.72309,1.14000
3.73152,1.16000
3.73993,1.18000
3.74848,1.20000
3.75701,1.22000
3.76566,1.24000
3.77430,1.26000
3.78301,1.28000
3.79178,1.30000
3.80052,1.32000
3.80933,1.34000
3.81827,1.36000
3.82714,1.38000
3.83617,1.40000
3.84523,1.42000
3.85432,1.44000
3.86356,1.46000
3.87269,1.48000
3.88206,1.50000
3.89131,1.52000
3.90070,1.54000
3.91016,1.56000
3.91976,1.58000
3.92930,1.60000
3.93897,1.62000
3.94865,1.64000
3.95848,1.66000
3.96824,1.68000
3.97816,1.70000
3.98815,1.72000
3.99829,1.74000
4.00000,1.74339
